problem;time
1;0.002630800000000
2;0.004338000000000
3;0.219099300000000
4;0.116847500000000
5;0.004385500000000
6;0.002924700000000
7;0.161627900000000
8;0.008128600000000
9;0.022652000000000
10;2.965940000000000
11;Nan
12;0.214906400000000
13;0.009989900000000
14;Nan
15;Nan
16;Nan
17;Nan
18;Nan
19;Nan
20;Nan
